ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente,Total_HT,Total_HT_normalise
1,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
2,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
3,Chaussures,,50.0,2022-01-07,,
4,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
5,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
7,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
9,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.20315850528161328
11,Chaussures,0.0,60.0,2022-01-14,0.0,0.0
12,Montre,25.0,55.0,2022-01-15,1375.0,0.6983573619055456
13,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
14,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
15,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5078962632040331
16,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
17,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
19,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
21,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.20315850528161328
23,Chaussures,0.0,60.0,2022-01-14,0.0,0.0
24,Montre,25.0,55.0,2022-01-15,1375.0,0.6983573619055456
25,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
26,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
27,Chaussures,20.0,50.0,2022-01-07,1000.0,0.5078962632040331
28,Cravate,12.0,15.0,2022-01-08,180.0,0.09142132737672597
29,Robe,15.0,45.0,2022-01-09,675.0,0.3428299776627224
31,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
33,Lunettes de soleil,10.0,40.0,2022-01-12,400.0,0.20315850528161328
35,Chaussures,0.0,60.0,2022-01-14,0.0,0.0
36,Montre,25.0,55.0,2022-01-15,1375.0,0.6983573619055456
37,Chemise,10.0,25.0,2022-01-05,250.0,0.12697406580100828
38,Pantalon,8.0,35.0,2022-01-06,280.0,0.1422109536971293
