ID_produit,Nom_produit,Quantite_vendue,Prix_unitaire,Date_vente
1,Chemise,10.0,25.0,2022-01-05
2,Pantalon,8.0,35.0,2022-01-06
3,Chaussures,,50.0,2022-01-07
4,Cravate,12.0,15.0,2022-01-08
5,Robe,15.0,45.0,2022-01-09
6,Pull,20.0,,2022-01-10
7,Pantalon,8.0,35.0,2022-01-06
8,,20.0,30.0,2022-01-11
9,Lunettes de soleil,10.0,40.0,2022-01-12
10,,18.0,20.0,2022-01-13
11,Chaussures,0.0,60.0,2022-01-14
12,Montre,25.0,55.0,2022-01-15
13,Chemise,10.0,25.0,2022-01-05
14,Pantalon,8.0,35.0,2022-01-06
15,Chaussures,20.0,50.0,2022-01-07
16,Cravate,12.0,15.0,2022-01-08
17,Robe,15.0,45.0,2022-01-09
18,Pull,20.0,,2022-01-10
19,Pantalon,8.0,35.0,2022-01-06
20,,20.0,30.0,2022-01-11
21,Lunettes de soleil,10.0,40.0,2022-01-12
22,,18.0,20.0,2022-01-13
23,Chaussures,0.0,60.0,2022-01-14
24,Montre,25.0,55.0,2022-01-15
25,Chemise,10.0,25.0,2022-01-05
26,Pantalon,8.0,35.0,2022-01-06
27,Chaussures,20.0,50.0,2022-01-07
28,Cravate,12.0,15.0,2022-01-08
29,Robe,15.0,45.0,2022-01-09
30,Pull,20.0,,2022-01-10
31,Pantalon,8.0,35.0,2022-01-06
32,,20.0,30.0,2022-01-11
33,Lunettes de soleil,10.0,40.0,2022-01-12
34,,18.0,20.0,2022-01-13
35,Chaussures,0.0,60.0,2022-01-14
36,Montre,25.0,55.0,2022-01-15
37,Chemise,10.0,25.0,2022-01-05
38,Pantalon,8.0,35.0,2022-01-06
39,Chaussures,20.0,50.0,2022-01-07
40,Cravate,12.0,15.0,2022-01-08
41,Robe,15.0,45.0,2022-01-09
42,Pull,20.0,,2022-01-10
43,Pantalon,8.0,35.0,2022-01-06
44,,20.0,30.0,2022-01-11
45,Lunettes de soleil,10.0,40.0,2022-01-12
46,,18.0,20.0,2022-01-13
47,Chaussures,0.0,60.0,2022-01-14
48,Montre,25.0,55.0,2022-01-15
49,Chemise,10.0,25.0,2022-01-05
50,Pantalon,8.0,35.0,2022-01-06
51,Chaussures,20.0,50.0,2022-01-07
52,Cravate,12.0,15.0,2022-01-08
53,Robe,15.0,45.0,2022-01-09
54,Pull,20.0,,2022-01-10
55,Pantalon,8.0,35.0,2022-01-06
56,,20.0,30.0,2022-01-11
57,Lunettes de soleil,10.0,40.0,2022-01-12
58,,18.0,20.0,2022-01-13
59,Chaussures,0.0,60.0,2022-01-14
60,Montre,25.0,55.0,2022-01-15
61,Chemise,10.0,25.0,2022-01-05
62,Pantalon,8.0,35.0,2022-01-06
63,Chaussures,20.0,50.0,2022-01-07
64,Cravate,12.0,15.0,2022-01-08
65,Robe,15.0,45.0,2022-01-09
66,Pull,20.0,,2022-
82,Pantalon,,32.04,invalid_date
14,Pantalon,12.2,12.68,2023-06-10
65,Chemise,,,2023-12-21
98,Chaussures,,35.01,07/09/2023
14,Pantalon,,,2024-12-14
94,Montre,,,invalid_date
80,Pull,12.0,14.12,18/07/2024
11,Cravate,,,2023-07-28
48,Pull,,73.16,invalid_date
82,Chaussures,11.1,,02/08/2023
82,Cravate,14.0,30.61,18/11/2023
52,Robe,,,31/08/2024
83,Montre,3.7,,invalid_date
75,Lunettes de soleil,,42.58,invalid_date
64,Pantalon,15.4,23.76,invalid_date
55,Pantalon,,57.62,invalid_date
93,Pantalon,,,2023-11-09
38,Lunettes de soleil,4.0,,invalid_date
98,Chaussures,10.6,,invalid_date
65,Cravate,3.9,58.54,invalid_date
42,Montre,,,2025-02-05
8,Cravate,17.7,,2024-11-14
98,Chaussures,,95.22,23/12/2023
68,Lunettes de soleil,19.3,,invalid_date
84,Pull,,20.89,2025-01-04
44,Chemise,12.2,62.96,2023-08-09
91,Chemise,5.3,87.37,invalid_date
31,Robe,13.7,,2024-02-24
61,Lunettes de soleil,4.6,,01/09/2024
53,Montre,17.4,70.6,2023-12-13
52,Pull,16.2,32.38,invalid_date
58,Chaussures,,51.64,11/07/2024
71,Pantalon,2.0,97.21,2023-08-26
53,Montre,,91.22,22/07/2023
1,Lunettes de soleil,,,2024-07-23
25,Robe,5.1,62.13,invalid_date
41,Chemise,,55.26,2024-09-13
66,Pantalon,17.2,63.55,26/02/2024
16,Cravate,12.0,,invalid_date
75,Pull,18.8,,2024-11-19
34,Lunettes de soleil,,51.15,2023-06-26
59,Pantalon,2.4,55.53,11/01/2025
9,Cravate,8.0,,invalid_date
84,Chemise,,93.86,2025-03-16
34,Pantalon,17.9,34.51,invalid_date
44,Cravate,,,2024-03-12
12,Lunettes de soleil,16.8,10.32,invalid_date
34,Chaussures,,60.48,2025-02-27
89,Chaussures,,62.43,04/03/2024
17,Chemise,6.9,90.9,invalid_date
32,Pantalon,,97.65,2024-10-23
21,Chaussures,17.7,,18/05/2025
86,Cravate,6.1,44.43,06/10/2024
29,Cravate,,41.47,2023-07-16
4,Cravate,,,01/10/2023
83,Lunettes de soleil,,94.53,08/12/2024
23,Robe,,,25/09/2023
78,Pantalon,8.3,,2024-05-15
67,Cravate,7.9,,invalid_date
41,Pantalon,,,06/11/2024
52,Robe,11.5,,invalid_date
96,Chaussures,,46.55,28/01/2024
37,Cravate,,,invalid_date
28,Montre,16.1,,invalid_date
85,Pull,2.8,70.55,2023-11-15
19,Chemise,,65.01,05/02/2025
54,Cravate,,54.49,2024-01-22
84,Chemise,18.0,80.06,2023-12-15
90,Montre,2.0,92.57,30/04/2025
18,Montre,,,invalid_date
93,Lunettes de soleil,,,21/01/2024
34,Cravate,,,invalid_date
31,Robe,,,24/03/2024
70,Pantalon,3.6,44.47,invalid_date
28,Pantalon,,,2024-10-02
27,Lunettes de soleil,8.4,,13/12/2023
1,Pull,,,invalid_date
96,Cravate,,49.23,31/07/2024
44,Lunettes de soleil,,92.76,12/12/2023
76,Chemise,,,2024-12-22
7,Robe,8.2,,18/04/2025
36,Lunettes de soleil,5.8,52.33,27/03/2024
29,Pantalon,15.8,77.88,2024-02-27
3,Chaussures,,70.25,20/06/2024
90,Robe,15.6,64.53,2024-06-08
40,Pantalon,,,27/06/2023
92,Cravate,2.4,,invalid_date
77,Pantalon,16.1,,invalid_date
48,Pantalon,,,26/01/2025
14,Lunettes de soleil,,,2024-10-31
94,Robe,,,10/07/2023
32,Pantalon,,,invalid_date
79,Lunettes de soleil,,86.59,19/05/2024
28,Pull,,,invalid_date
2,Cravate,,53.97,invalid_date
61,Montre,9.5,18.37,31/10/2024
89,Cravate,,,18/08/2023
96,Pull,,,2024-11-01
16,Cravate,7.0,,25/12/2024
93,Robe,19.6,,2023-12-15
39,Chemise,14.5,34.69,invalid_date
38,Chaussures,,19.23,invalid_date
37,Montre,,26.59,21/09/2023
62,Pantalon,,54.26,2024-05-08
20,Robe,2.6,,invalid_date
77,Cravate,,,12/12/2023
76,Lunettes de soleil,6.8,64.87,2024-06-13
81,Cravate,6.0,24.14,invalid_date
10,Chaussures,,,12/08/2023
5,Cravate,,,2025-03-28
88,Cravate,18.6,48.26,invalid_date
20,Robe,16.7,,invalid_date
96,Robe,,,23/10/2023
65,Montre,9.3,,invalid_date
33,Chemise,2.7,,invalid_date
6,Chaussures,,92.45,invalid_date
56,Montre,,,06/07/2024
86,Pantalon,,,22/05/2023
85,Lunettes de soleil,16.5,,28/01/2024
42,Pantalon,,87.84,invalid_date
70,Montre,8.9,,invalid_date
57,Chemise,4.9,,invalid_date
63,Pantalon,1.5,,invalid_date
2,Lunettes de soleil,2.8,51.53,invalid_date
20,Montre,,,25/11/2023
62,Montre,5.6,44.52,2025-04-02
36,Lunettes de soleil,,,invalid_date
39,Montre,,,02/06/2024
71,Lunettes de soleil,,88.26,invalid_date
50,Cravate,,,invalid_date
49,Lunettes de soleil,19.8,54.58,2025-01-05
65,Pull,,,2023-08-29
93,Chaussures,8.8,,22/07/2024
